Animal,Treatment.Group,Day0,Day14,Day28,Day42,Day56,Day70,Day84,Day98,Day112,Day126,Day133
1,B,210,215,230,244,259,266,277,292,292,290,264
2,B,230,240,258,277,277,293,300,323,327,340,343
3,B,226,233,248,277,297,313,322,340,354,365,362
4,B,233,239,253,277,292,310,318,333,336,353,338
5,B,238,241,262,282,300,314,319,331,338,348,338
6,B,225,228,237,261,271,288,300,316,319,333,330
7,B,224,225,239,257,268,290,304,313,310,318,318
8,B,237,241,255,276,293,307,312,336,336,344,328
9,B,237,224,234,239,256,266,276,300,302,293,269
10,B,233,239,259,283,294,313,320,347,348,362,352
11,B,217,222,235,256,267,285,295,317,315,308,301
12,B,228,223,246,266,277,287,300,312,308,328,333
13,B,241,247,268,290,309,323,336,348,359,372,370
14,B,221,221,240,253,273,282,292,307,306,317,318
15,B,217,220,235,259,262,276,284,305,303,315,317
16,B,214,221,237,256,271,283,287,314,316,320,298
17,B,224,231,241,256,265,283,295,314,313,328,334
18,B,200,203,221,236,248,262,276,294,291,311,310
19,B,238,232,252,268,285,298,303,320,324,320,327
20,B,230,222,243,253,268,284,290,316,314,330,330
21,B,217,224,242,265,284,302,309,324,328,338,334
22,B,209,209,221,238,256,267,281,295,301,309,289
23,B,224,227,245,267,279,294,312,328,329,297,297
24,B,230,231,244,261,272,283,294,318,320,333,338
25,B,216,218,223,243,259,270,270,290,301,314,297
26,B,231,239,254,276,294,304,317,335,333,319,307
27,B,207,216,228,255,275,285,296,314,319,330,330
28,B,227,236,251,264,276,287,297,315,309,313,294
29,B,221,232,251,274,284,295,300,323,319,333,322
30,B,233,238,254,266,282,294,295,310,320,327,326
31,A,233,224,245,258,271,287,287,287,290,293,297
32,A,231,238,260,273,290,300,311,313,317,321,326
33,A,232,237,245,265,285,298,304,319,317,334,329
34,A,239,246,268,288,308,309,327,324,327,336,341
35,A,215,216,239,264,282,299,307,321,328,332,337
36,A,236,226,242,255,263,277,290,299,300,308,310
37,A,219,229,246,265,279,292,299,299,298,300,290
38,A,231,245,270,292,302,321,322,334,323,337,337
39,A,230,228,243,255,272,276,277,289,289,300,303
40,A,232,240,247,263,275,286,294,302,308,319,326
41,A,234,237,259,289,311,324,342,347,355,368,368
42,A,237,235,258,263,282,304,318,327,336,349,353
43,A,229,234,254,276,294,315,323,341,346,352,357
44,A,220,227,248,273,290,308,322,326,330,342,343
45,A,232,241,255,276,293,309,310,330,326,329,330
46,A,210,225,242,260,272,277,273,295,292,305,306
47,A,229,241,252,265,274,285,303,308,315,328,328
48,A,204,198,217,233,251,258,272,283,279,295,298
49,A,220,221,236,260,274,295,300,301,310,318,316
50,A,233,234,250,268,280,298,308,319,318,336,333
51,A,234,234,254,274,294,306,318,334,343,349,350
52,A,200,207,217,238,252,267,284,282,282,284,288
53,A,220,213,229,252,254,273,293,289,294,292,298
54,A,225,239,254,269,289,308,313,324,327,347,344
55,A,236,245,257,271,294,307,317,327,328,328,325
56,A,231,231,237,261,274,285,291,301,307,315,320
57,A,208,211,238,254,267,287,306,312,320,337,338
58,A,232,248,261,285,292,307,312,323,318,328,329
59,A,233,241,252,273,301,316,332,336,339,348,345
60,A,221,219,231,251,270,272,287,294,292,292,299
