x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10
2.5,0.5,2,-1,1,-1,0.5,1.5,0.5,-1.5
0,0,0.5,1,1.5,1,-1,1,1.5,-1
1.5,1,1,-1,0,-1.5,-1,-1,1,-1
0,0.5,-2,0,-1,1.5,-1.5,0,-2,-1.5
0,0,0,-0.5,0.5,1,-0.5,-0.5,0,0
1,-0.5,0,0,0,0.5,-1,1,-2,1
1,-1,-1,-1,0,1.5,0,1,0,0
0,-1.5,-0.5,1.5,0,0,0,-1,0.5,-0.5
-2,-1.5,1.5,1.5,0,0,0.5,1,0,1
-0.5,3.5,0,-1,-1.5,-1.5,-1,-1,1,0.5
0,1.5,0,0,2,-1.5,0.5,-0.5,2,-1
0,-2,-0.5,0,-0.5,2,1.5,0,0.5,-1
-1,-0.5,-0.5,-1,0,0.5,0.5,-1.5,-1,-1
0.5,1,-1,-0.5,-2,-1,-1.5,0,1.5,1.5
1,0,1.5,1.5,1,-1,0,1,-2,-1.5
